Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Фаренюк,Софія,Петрівна,Жіноча,30.05.2009,Аналітик,селище Тячів,"вулиця Парусна, буд. 430 кв. 469, Калуш, 17682",+380 97 941-36-31,baranetslarysa@example.org
Носаченко,Олекса,Петрович,Чоловіча,04.07.1955,Backend розробник,селище Бахчисарай,"шосе Успенський, буд. 09, Ківерці, 98509",077 425 66 43,frantsandriienko@example.org
Рубець,Демʼян,Русланович,Чоловіча,29.08.2000,Backend розробник,місто Тальне,"провулок Отрада, буд. 74 кв. 10, Ялта, 65778",+380 55 983-86-62,hlibandriichuk@example.org
Свистун,Марʼяна,Іванівна,Жіноча,30.08.2009,DevOps інженер,хутір Часів Яр,"парк Ольги Благовидової, буд. 80, Жовті Води, 38786",363-58-62,sliusarirena@example.org
Гресь,Климент,Юрійович,Чоловіча,15.02.1989,Системний адміністратор,місто Мерефа,"набережна Лузанівка, буд. 320 кв. 827, Кам'янське, 66538",+380 43 574-89-10,anitashtokalo@example.org
Сірко,Тетяна,Петрівна,Жіноча,16.08.1954,Backend розробник,село Коломия,"площа Привокзальний, буд. 9 кв. 04, Камінь-Каширський, 85792",+380 83 327 50 62,babiakhalyna@example.org
Цимбал,Мирон,Вікторович,Чоловіча,15.06.1955,Тестувальник,місто Кременець,"проспект 12-та ст. Великого Фонтану пляж, буд. 855 кв. 1, Прилуки, 27367",032 315 56 05,kylymnykkhrystyna@example.org
Артимович,Валерій,Степанович,Чоловіча,20.09.1955,Тестувальник,хутір Тальне,"сквер Лазурний 4-й, буд. 504 кв. 715, Гнівань, 64094",+380 51 449 15 48,zaietsmakar@example.com
Уманець,Емілія,Богданівна,Жіноча,22.07.2001,Аналітик,місто Рені,"площа Горіхова, буд. 5, Монастириська, 26503",+380 (92) 395-84-88,dubasorkhyp@example.org
Гавриш,Лариса,Русланівна,Жіноча,13.12.1950,Системний адміністратор,село Красилів,"площа Чубаївська, буд. 52, Старобільськ, 46335",317 04 60,mtsarenko@example.net
Цимбалюк,Алевтин,Степанович,Чоловіча,17.08.1953,Аналітик,хутір Люботин,"шосе Миколи Савича, буд. 935 кв. 2, Сорокине, 25327",+380 58 805-63-90,zzatovkaniuk@example.com
Бабʼюк,Галина,Сергіївна,Жіноча,21.04.1993,Аналітик,село Моршин,"парк Китобійна, буд. 7 кв. 87, Суходільськ, 18128",704-65-65,ostaphupalo@example.net
Девдюк,Єлисей,Олегович,Чоловіча,19.01.1962,Аналітик,місто Вільногірськ,"вулиця Жоліо-Кюрі, буд. 696 кв. 600, Середина-Буда, 62947",+380 13 452-48-13,halynamasokha@example.org
Василенко,Володимира,Вікторівна,Жіноча,24.04.2001,Аналітик,хутір Кодима,"шосе Ярмарковий, буд. 19 кв. 35, Шахтарськ, 27763",+380 24 321-01-40,vitaliidankiv@example.net
Верхола,Борис,Євгенович,Чоловіча,06.11.1981,UI/UX дизайнер,хутір Кілія,"проспект Каркашадзе, буд. 664, Синельникове, 33119",+380 47 488 27 79,liliiaatroshchenko@example.org
Рябовіл,Марта,Юріївна,Жіноча,02.05.1981,Backend розробник,село Вугледар,"шосе Скидановська, буд. 6 кв. 1, Енергодар, 28496",091 793 40 57,iermolenkoliudmyla@example.com
Кабаненко,Геннадій,Павлович,Чоловіча,31.05.1984,Системний адміністратор,хутір Тернопіль,"узвіз Балтська дорога, буд. 42, Берислав, 60839",+380 03 458-11-18,panteleimon11@example.com
Даньків,Макар,Тарасович,Чоловіча,15.08.1953,UI/UX дизайнер,місто Алупка,"парк Юрія Кондратюка, буд. 28, Ковель, 72074",073 233-57-51,eduardsheremet@example.com
Гайдабура,Ганна,Павлівна,Жіноча,18.03.1954,Тестувальник,село Харцизьк,"вулиця Зелена, буд. 6 кв. 664, Залізне, 48147",+380 (47) 131-67-80,riabchenkoanita@example.org
Конопля,Амалія,Тарасівна,Жіноча,15.09.1952,Аналітик,місто Івано-Франківськ,"сквер Пересипська 4-та, буд. 81 кв. 492, Кобеляки, 10027",088 953-94-88,samoilenkovarvara@example.org
Ірванець,Яків,Денисович,Чоловіча,05.11.1965,UI/UX дизайнер,хутір Кременець,"вулиця Кедровий, буд. 08 кв. 431, Хрустальний, 51223",+380 (80) 208-16-28,virasachenko@example.net
Христенко,Олександр,Юрійович,Чоловіча,15.12.1952,Системний адміністратор,селище Макіївка,"набережна Сергія Параджанова, буд. 6, Глобине, 18312",990-25-76,olesabramenko@example.org
Дергач,Аврелій,Максимович,Чоловіча,09.02.1960,Тестувальник,місто Пологи,"парк Зелена гірка, буд. 279, Лубни, 58569",+380 (37) 783-76-80,aaleksiuk@example.com
Ґжицький,Богодар,Андрійович,Чоловіча,04.01.1952,Backend розробник,село Кальміуське,"сквер Ігоря Бедзая, буд. 067, Дрогобич, 20141",534 82 19,olena58@example.com
Цушко,Вікторія,Артемівна,Жіноча,22.08.1948,Аналітик,село Багачеве,"парк Сімферопольська, буд. 10, Лохвиця, 89163",+380 56 203-66-72,klyment90@example.org
Міщенко,Галина,Євгенівна,Жіноча,22.06.1994,Backend розробник,місто Самар,"площа Шевченка парк, буд. 16 кв. 628, Зугрес, 39094",051 304-97-98,rozaliia56@example.org
Лупій,Ліза,Євгенівна,Жіноча,27.09.2005,UI/UX дизайнер,село Барвінкове,"сквер Лютневий 1-й, буд. 5 кв. 41, Шаргород, 57475",957-28-38,liudmyla98@example.org
Жайворон,Миколай,Вікторович,Чоловіча,05.11.2001,DevOps інженер,селище Коростень,"сквер Студентський 5-й, буд. 136, Довжанськ, 75214",+380 35 995 65 77,baranykvalentyn@example.com
Давимука,Мартин,Русланович,Чоловіча,07.07.1970,Системний адміністратор,селище Тячів,"вулиця Василя Стуса, буд. 979 кв. 06, Нетішин, 41611",000 784-39-33,mariana73@example.net
Асаула,Опанас,Максимович,Чоловіча,09.01.2003,Тестувальник,місто Прип'ять,"проспект Садовського, буд. 984, Перещепине, 90085",+380 96 764 21 46,sviatoslav19@example.net
Іщак,Лілія,Іванівна,Жіноча,15.11.2011,Тестувальник,хутір Гола Пристань,"узвіз Кінна, буд. 979, Кілія, 34293",062 017 25 89,iholoborodko@example.org
Байрак,Орхип,Денисович,Чоловіча,02.06.1970,UI/UX дизайнер,місто Докучаєвськ,"вулиця Військовий узвіз, буд. 2 кв. 2, Покров, 37335",667-98-01,trokhymatamaniuk@example.net
Чередник,Варфоломій,Іванович,Чоловіча,28.08.1973,UI/UX дизайнер,селище Любомль,"вулиця Маловського, буд. 767 кв. 556, Павлоград, 22493",094 052-95-54,jliashko@example.com
Удовиченко,Єфрем,Максимович,Чоловіча,04.01.1982,UI/UX дизайнер,село Заводське,"вулиця Зої Бутенко, буд. 488, Косів, 25850",068 031 93 52,vtsushko@example.org
Мамчур,Артем,Тарасович,Чоловіча,28.04.1980,Системний адміністратор,місто Камінь-Каширський,"узвіз Верхня, буд. 2 кв. 5, Кам'янське, 06113",040 094-44-18,chekaliukvenedykt@example.com
Влох,Кирило,Олексійович,Чоловіча,20.02.1962,Аналітик,селище Добропілля,"шосе Дачний 1-й, буд. 09 кв. 442, Берислав, 82393",+380 (57) 906-81-98,ekolodub@example.net
Бабич,Ганна,Денисівна,Жіноча,15.08.2006,Аналітик,селище Берестин,"шосе 1-й Академічний тупик, буд. 1, Саки, 89246",050 611-96-09,isaievychliubov@example.org
Яценко,Лесь,Вікторович,Чоловіча,30.08.2001,Тестувальник,хутір Монастирище,"узвіз Високий, буд. 3, Шепетівка, 44139",+380 73 253-60-66,vatamaniukhennadii@example.org
Гречаник,Орхип,Денисович,Чоловіча,02.12.1973,DevOps інженер,селище Сторожинець,"шосе Фестивальний, буд. 0 кв. 4, Золоте, 24856",+380 81 855-21-58,rozaliia29@example.net
Дрозденко,Дан,Русланович,Чоловіча,31.10.1968,Backend розробник,місто Зіньків,"узвіз Івасюка Володимира, буд. 8, Трускавець, 87076",+380 27 076 74 15,vashchenko-zakharchenkoorest@example.com
Андрейко,Орина,Юріївна,Жіноча,18.07.1988,Тестувальник,село Білгород-Дністровський,"парк Каркашадзе, буд. 8 кв. 098, Сарни, 86559",068 075 20 61,klavdiiashevchenko@example.com
Устенко,Онисим,Степанович,Чоловіча,04.01.1946,Тестувальник,село Коростень,"парк Машинобудівний, буд. 9 кв. 95, Федорівка, 27185",062 735-81-69,avhustynbashtan@example.net
Ющенко,Тетяна,Максимівна,Жіноча,31.12.1978,Тестувальник,село Борислав,"вулиця Миколи Леонтовича, буд. 5 кв. 0, Липовець, 34681",+380 05 041-58-49,zhukada@example.com
Козаченко,Амалія,Русланівна,Жіноча,21.05.1950,DevOps інженер,село Благовіщенське,"набережна Волтона, буд. 63, Нововолинськ, 18285",338 08 39,iefremsvyrydenko@example.org
Перебийніс,Опанас,Євгенович,Чоловіча,23.03.1960,Тестувальник,місто Марганець,"парк Андреєвського, буд. 1, Верхівцеве, 03788",+380 40 424-79-20,ievadavymuka@example.net
Цимбалюк,Прохір,Тарасович,Чоловіча,02.12.1954,DevOps інженер,село Овруч,"площа Лінія 33-тя, буд. 37, Сколе, 31554",+380 81 296 77 90,chumakvalerii@example.org
Шило,Сніжана,Юріївна,Жіноча,23.08.1977,DevOps інженер,хутір Українка,"узвіз Скляний 3-й, буд. 035 кв. 115, Винники, 24538",059 117 82 21,amaliiamishchenko@example.net
Абрагамовська,Ірина,Андріївна,Жіноча,27.03.1980,DevOps інженер,місто Євпаторія,"шосе Болгарська, буд. 883 кв. 5, Золочів, 15423",444-49-89,sliusarmaryna@example.com
Козак,Микита,Олегович,Чоловіча,28.09.1965,Тестувальник,селище Луганськ,"вулиця Тупиковий, буд. 839, Новий Розділ, 84561",037 019-85-30,stefankarmaliuk@example.net
Хомик,Леопольд,Артемович,Чоловіча,05.06.1958,Системний адміністратор,село Верхньодніпровськ,"проспект Манежний, буд. 5, Золоте, 10206",760-46-24,everes@example.com
Андрощук,Артем,Русланович,Чоловіча,17.07.1983,Тестувальник,місто Судова Вишня,"сквер Осіння, буд. 7 кв. 15, Здолбунів, 59966",+380 (38) 687-85-84,pshyian@example.net
Вдовиченко,Мартин,Богданович,Чоловіча,28.04.1992,Тестувальник,хутір Пустомити,"сквер Дворникова, буд. 9, Кальміуське, 69416",012 845 26 02,albert91@example.com
Ґоляш,Варвара,Михайлівна,Жіноча,14.02.1946,Backend розробник,хутір Красноперекопськ,"набережна Надії Пучковської, буд. 6 кв. 417, Дніпрорудне, 04056",+380 42 683-06-25,tbabko@example.com
Заїка,Єлисавета,Тарасівна,Жіноча,13.03.1983,Системний адміністратор,місто Світловодськ,"узвіз Змієнка Всеволода, буд. 5, Умань, 61067",+380 82 394-85-45,olha59@example.org
Сірко,Любов,Іванівна,Жіноча,15.10.1962,Тестувальник,село Берестечко,"вулиця Совіньйонівський, буд. 7 кв. 3, Іллінці, 35273",077 349-99-61,dsmyk@example.com
Гайворонський,Венедикт,Степанович,Чоловіча,02.05.1998,Backend розробник,хутір Горохів,"парк Олександра Блока, буд. 7 кв. 00, Отаманівка, 54845",933-48-40,starasenko@example.com
Влох,Геннадій,Юрійович,Чоловіча,02.11.1956,Системний адміністратор,місто Вугледар,"набережна Нечипуренка, буд. 1, Ічня, 21560",+380 35 349-63-50,hordii21@example.net
Пушкар,Яків,Русланович,Чоловіча,15.01.1986,UI/UX дизайнер,селище Миколаїв,"набережна Бригадна, буд. 7 кв. 0, Новий Буг, 09164",+380 75 764-10-48,iefrem85@example.org
Чалий,Демид,Олегович,Чоловіча,09.06.1995,Backend розробник,хутір Берислав,"площа Окружна, буд. 4, Рівне, 52559",057 216-69-02,viktor50@example.net
Шинкаренко,Артем,Тарасович,Чоловіча,23.01.1953,UI/UX дизайнер,місто Миргород,"провулок Скидановська, буд. 3 кв. 21, Берислав, 44777",+380 (18) 209-03-52,jnosachenko@example.org
Юрченко,Герман,Андрійович,Чоловіча,22.12.1982,Аналітик,місто Світлодарськ,"площа Асташкіна, буд. 89 кв. 591, Ладижин, 35995",057 947-46-57,nalyvaikolevko@example.org
Гаєвський,Венедикт,Олегович,Чоловіча,10.07.1958,Тестувальник,село Рогатин,"шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 7, Суми, 81526",+380 88 451 14 21,zoberemko@example.com
Романенко,Павло,Євгенович,Чоловіча,26.08.1996,Системний адміністратор,селище Інкерман,"площа Дача Ковалевського, буд. 30, Тараща, 98716",020 489-32-44,vudovychenko@example.net
Мазур,Марина,Павлівна,Жіноча,27.02.1955,UI/UX дизайнер,місто Бахмут,"набережна Творча, буд. 5 кв. 18, Городище, 90097",588 82 55,iaroslavvdovenko@example.com
Малик,Микита,Максимович,Чоловіча,31.01.1964,Системний адміністратор,село Подільськ,"шосе Тополина, буд. 362, Лохвиця, 60707",097 890-77-35,vlasenkosviatoslava@example.net
Батіг,Левко,Максимович,Чоловіча,24.10.1973,Системний адміністратор,село Тисмениця,"вулиця Кривобалківська, буд. 049 кв. 2, Городня, 94043",+380 80 388-64-30,ishchenkotrokhym@example.com
Козак,Пармен,Олегович,Чоловіча,19.12.1967,DevOps інженер,село Новодністровськ,"узвіз Тюльпанний, буд. 04, Дрогобич, 26037",438 11 17,kostiantyn05@example.net
Єрьоменко,Ольга,Олегівна,Жіноча,13.01.1977,UI/UX дизайнер,селище Славутич,"провулок Теофіла Фраєрмана, буд. 09, Жашків, 02448",+380 (44) 431-29-30,halyna38@example.com
Швачка,Гліб,Петрович,Чоловіча,25.09.1959,Аналітик,село Ірпінь,"узвіз Прокатна, буд. 84, Сновськ, 27182",267 98 10,kabaliukamaliia@example.org
Рудько,Захар,Павлович,Чоловіча,13.05.2005,Аналітик,селище Токмак,"узвіз Училищна, буд. 790, Черкаси, 15351",+380 (66) 429-24-65,vasyl89@example.net
Зарудна,Богуслава,Вікторівна,Жіноча,03.11.1956,Backend розробник,село Нововолинськ,"узвіз Виноградна 2-га, буд. 17 кв. 08, Сіверськ, 95979",003 192 63 35,olestkach@example.net
Бабко,Леон,Михайлович,Чоловіча,08.07.2008,UI/UX дизайнер,селище Ананьїв,"узвіз Офіцерський 1-й, буд. 4, Заліщики, 68477",+380 02 898 11 16,avhustynprymachenko@example.org
Стець,Адам,Іванович,Чоловіча,25.03.1985,Системний адміністратор,селище Хутір-Михайлівський,"узвіз Садова 6-та, буд. 029 кв. 3, Хуст, 17890",058 103 79 07,artem58@example.net
Тимчук,Ірена,Павлівна,Жіноча,27.10.1974,DevOps інженер,селище Куп'янськ,"набережна Кругова, буд. 8, Корсунь-Шевченківський, 99896",421 69 55,spas27@example.net
Засенко,Охрім,Вікторович,Чоловіча,10.07.1953,DevOps інженер,село Снігурівка,"узвіз Олега Андрійця, буд. 7, Єнакієве, 01465",+380 10 382-23-83,lstus@example.com
Рудько,Дарина,Денисівна,Жіноча,14.08.1959,Аналітик,хутір Хотин,"площа Андрія Музичка, буд. 71, Городок, 27316",+380 37 565-34-71,leontii16@example.net
Свириденко,Хома,Юрійович,Чоловіча,31.03.1975,Тестувальник,хутір Красногорівка,"парк Цимлянська, буд. 374 кв. 8, Брянка, 11015",864 88 10,zbabenko@example.net
Рева,Марія,Артемівна,Жіноча,19.12.2008,DevOps інженер,місто Світловодськ,"шосе Ігоря Бедзая, буд. 397, Скадовськ, 04123",+380 (97) 266-87-10,chaikaroman@example.com
Каденюк,Богданна,Михайлівна,Жіноча,12.11.2005,UI/UX дизайнер,селище Лебедин,"сквер Привокзальний, буд. 58 кв. 6, Богуслав, 32343",+380 29 894 38 58,toliinyk@example.com
Яремко,Аліна,Вікторівна,Жіноча,10.12.1957,Системний адміністратор,хутір Бахмут,"проспект Кременецький, буд. 70 кв. 70, Вишневе, 76341",+380 64 451-90-72,zarubaarsen@example.net
Палій,Златослава,Вікторівна,Жіноча,13.01.1970,DevOps інженер,місто Тячів,"шосе Сортувальна 2-га, буд. 657, Залізне, 46428",013 753-79-89,demianlaba@example.com
Фастенко,Гліб,Віталійович,Чоловіча,14.03.1971,Системний адміністратор,село Костянтинівка,"проспект Пшенична, буд. 65 кв. 55, Мар'їнка, 45760",+380 29 320 81 92,eibozhenkoruslan@example.org
Вдовиченко,Адам,Русланович,Чоловіча,05.04.1959,Тестувальник,селище Алупка,"проспект Ганса Германа, буд. 48 кв. 509, Баштанка, 83082",+380 (32) 097-89-74,dshcherban@example.org
Зубко,Валерій,Олексійович,Чоловіча,19.11.1993,Системний адміністратор,місто Львів,"узвіз Бориса Літвака, буд. 3 кв. 7, Моспине, 04699",016 416-47-29,dhavrysh@example.net
Христенко,Одарка,Русланівна,Жіноча,11.10.1966,UI/UX дизайнер,селище Дунаївці,"узвіз Степова, буд. 50, Турка, 37312",+380 (12) 673-44-77,amedvedenko@example.com
Гавриш,Михайлина,Денисівна,Жіноча,14.03.1986,Backend розробник,місто Підгородне,"сквер Клинова, буд. 524, Угнів, 39624",755-30-92,masokhaserhii@example.com
Гриценко,Володимир,Сергійович,Чоловіча,02.10.1947,Системний адміністратор,село Ходорів,"вулиця Лінійна, буд. 155 кв. 351, Мукачево, 96078",+380 73 967-27-33,iartiushenko@example.org
Франчук,Венедикт,Віталійович,Чоловіча,05.04.1948,Тестувальник,хутір Інкерман,"вулиця Лузанівський 2-й, буд. 7, Гайсин, 08136",+380 48 114-34-35,havryshkevychiukhym@example.com
Павличенко,Давид,Євгенович,Чоловіча,03.06.1977,Аналітик,хутір Приморськ,"набережна Олешківська, буд. 67, Моршин, 41965",+380 05 626-84-25,tsarenkoroman@example.net
Андрієнко,Аніта,Богданівна,Жіноча,17.10.1955,DevOps інженер,хутір Снятин,"провулок Іони Отаманського, буд. 69 кв. 18, Помічна, 65946",+380 40 025-56-21,ychuiko@example.net
Аврамчук,Борис,Вікторович,Чоловіча,24.05.1965,DevOps інженер,місто Зоринськ,"вулиця Чернігівський, буд. 34 кв. 2, Тернівка, 68415",+380 52 805 13 51,arak@example.com
Рубан,Пріска,Русланівна,Жіноча,06.04.1952,DevOps інженер,селище Коростишів,"шосе Транспортна, буд. 340 кв. 0, Рогатин, 66360",+380 (38) 620-93-46,emiliia97@example.org
Валенко,Святослава,Степанівна,Жіноча,08.07.1993,Тестувальник,місто Полтава,"сквер Тепла, буд. 4, Харків, 97501",084 511 01 40,kierchenko@example.com
Мазур,Варфоломій,Євгенович,Чоловіча,09.11.1956,Backend розробник,село Угнів,"площа Заводська 3-тя, буд. 579, Тетіїв, 92060",087 729-07-41,azhaivoron@example.com
Аронець,Августин,Максимович,Чоловіча,05.07.1982,Тестувальник,хутір Косів,"провулок Вишнева, буд. 7, Кілія, 85428",085-62-35,csamoilenko@example.org
Стець,Євген,Максимович,Чоловіча,02.05.1976,DevOps інженер,хутір Федорівка,"площа Любомира Гузара, буд. 81, Кропивницький, 01670",521 48 72,liudmyla10@example.com
Венгринович,Одарка,Степанівна,Жіноча,25.12.2003,UI/UX дизайнер,селище Нікополь,"вулиця Петра Лещенка, буд. 146, Кобеляки, 69024",+380 27 569 41 96,mykhailynatsymbaliuk@example.org
Литвин,Еріка,Павлівна,Жіноча,02.04.2007,Backend розробник,місто Бібрка,"узвіз Зелена, буд. 61 кв. 36, Новомиргород, 24795",015 627 00 45,varvarakalchenko@example.net
Гайдай,Пилип,Михайлович,Чоловіча,30.12.1960,Тестувальник,місто Ічня,"шосе Михайла Слабченка, буд. 19 кв. 397, Горлівка, 34174",074 107-28-79,gnikoliuk@example.net
Яценюк,Варфоломій,Артемович,Чоловіча,23.04.1951,Аналітик,місто Яворів,"проспект Чорноморський 11-й, буд. 0, Красноперекопськ, 22613",+380 69 774 78 89,aleksiichukalbert@example.com
Ковпак,Єва,Тарасівна,Жіноча,16.01.1982,Тестувальник,селище Черкаси,"сквер Теплична, буд. 86, Шахтарськ, 27445",+380 (03) 411-83-72,mtsarenko@example.net
Савенко,Оксенія,Віталіївна,Жіноча,29.12.2004,Тестувальник,місто Верхньодніпровськ,"проспект Старицького, буд. 8, Костопіль, 18832",758-59-31,kovaliuktetiana@example.net
Кабалюк,Віолетта,Артемівна,Жіноча,28.10.1952,Системний адміністратор,місто Федорівка,"проспект 12-та ст. Великого Фонтану пляж, буд. 89 кв. 3, Здолбунів, 22740",004-17-75,hzatovkaniuk@example.org
Приходько,Климент,Артемович,Чоловіча,23.02.1997,Системний адміністратор,хутір Сміла,"сквер Хаджибейський 2-й, буд. 9 кв. 93, Броди, 36502",083 078-16-72,adamchukandrii@example.org
Царенко,Остап,Олегович,Чоловіча,25.12.1958,Backend розробник,місто Любомль,"парк Надії Пучковської, буд. 91, Красноперекопськ, 94911",013 431-07-48,voliinyk@example.net
Абрамчук,Дарина,Русланівна,Жіноча,30.05.1988,Аналітик,селище Чернівці,"узвіз Аеропортівський 1-й, буд. 0, Баштанка, 69634",718-31-17,iryna67@example.com
Гаврилюк,Одарка,Віталіївна,Жіноча,05.04.1951,DevOps інженер,хутір Долина,"провулок Учнівська, буд. 5, Миколаїв, 23980",+380 (27) 532-69-58,oberemkoklavdiia@example.org
Дейсун,Аркадій,Сергійович,Чоловіча,10.11.1986,DevOps інженер,хутір Одеса,"шосе Зелена гірка, буд. 7, Гола Пристань, 11136",013 213 95 90,mykytakolesnychenko@example.net
Швачка,Владислав,Тарасович,Чоловіча,21.11.1958,Аналітик,хутір Радивилів,"узвіз Балтський 2-й, буд. 9 кв. 162, Ялта, 54752",+380 71 425-36-58,iaroslavtarasenko@example.net
Ванченко,Лукʼян,Павлович,Чоловіча,13.12.1999,Backend розробник,хутір Сокологірськ,"вулиця Ковиловий, буд. 6 кв. 143, Калинівка, 71790",036 288-32-10,spasiushchenko@example.com
Канівець,Олекса,Павлович,Чоловіча,05.05.1994,Системний адміністратор,селище Суходільськ,"сквер Літня, буд. 4 кв. 049, Монастириська, 13537",+380 77 924-50-05,iesypenkoleonid@example.org
Вакуленко,Артем,Богданович,Чоловіча,20.03.1973,DevOps інженер,місто Яворів,"провулок Новоберегова, буд. 7, Рожище, 23176",+380 38 948-22-12,vladyslav29@example.org
Данько,Тетяна,Андріївна,Жіноча,22.02.1985,Backend розробник,селище Новий Буг,"шосе Чорноморський 5-й, буд. 12, Лисичанськ, 80441",+380 (83) 175-89-85,ghavryshkevych@example.com
Андріїшин,Орися,Віталіївна,Жіноча,25.01.2006,Системний адміністратор,село Петрово-Красносілля,"шосе Лиманна, буд. 383, Берестечко, 02837",+380 (44) 634-45-21,kamillaopanasenko@example.org
Фаренюк,Валерій,Іванович,Чоловіча,05.04.1990,DevOps інженер,місто Бібрка,"шосе Сирітський 2-й, буд. 67, Чорнобиль, 85657",+380 64 747 70 00,bairakmartyn@example.org
Жук,Ірена,Степанівна,Жіноча,09.11.1956,Backend розробник,місто Богодухів,"проспект Петра Лещенка, буд. 8 кв. 08, Бердянськ, 75087",+380 41 360-10-07,tytarenkoandrii@example.com
Притула,Тетяна,Сергіївна,Жіноча,19.09.1999,DevOps інженер,місто Токмак,"сквер М’ясоєдовська, буд. 660, Калуш, 82832",000 379-79-97,baranliliia@example.org
Зінченко,Петро,Михайлович,Чоловіча,25.02.1997,UI/UX дизайнер,селище Маріуполь,"набережна Східчастий 3-й, буд. 39 кв. 726, Олександрівськ, 46229",+380 60 048-71-95,mykhailoiurchenko@example.org
Гаврилів,Роман,Тарасович,Чоловіча,31.05.2002,DevOps інженер,селище Сокаль,"шосе Богуна, буд. 2 кв. 6, Новоселиця, 40126",+380 35 041 30 12,tymofiizinkevych@example.org
Масоха,Гордій,Богданович,Чоловіча,15.08.1946,Аналітик,село Дніпро,"проспект Наливна, буд. 4 кв. 584, Теплодар, 49311",+380 20 734-09-55,rostyslav26@example.org
Піддубний,Азар,Павлович,Чоловіча,09.09.1946,Системний адміністратор,місто Дунаївці,"шосе Італійський, буд. 0 кв. 8, Городок, 25230",+380 35 809-53-88,davyd85@example.net
Шиян,Роман,Петрович,Чоловіча,06.10.1956,Аналітик,селище Сторожинець,"провулок Сумська, буд. 737 кв. 1, Хмельницький, 72542",+380 33 695-69-67,volodymyravivcharenko@example.com
Засенко,Володимира,Тарасівна,Жіноча,05.06.1993,Backend розробник,селище Жидачів,"узвіз Рабіна Іцхака, буд. 20, Житомир, 10001",047 529-65-71,rsirko@example.com
Пʼятаченко,Валерій,Михайлович,Чоловіча,17.11.2004,DevOps інженер,селище Гнівань,"сквер Матроський узвіз, буд. 294, Канів, 71051",+380 30 270-15-88,opylypenko@example.org
Андрощук,Аркадій,Вікторович,Чоловіча,23.09.1976,Тестувальник,селище Алупка,"набережна Дачний, буд. 22, Бориспіль, 10310",035 343-31-05,roksolana77@example.net
Рябченко,Ліза,Тарасівна,Жіноча,17.01.1955,Системний адміністратор,хутір Татарбунари,"провулок Капітана Гаврікова, буд. 68 кв. 96, Миколаївка, 21230",+380 (49) 400-54-42,ishchakalbina@example.net
Батуринець,Розалія,Петрівна,Жіноча,27.01.1957,Backend розробник,село Городище,"площа Локомотивний 1-й, буд. 2 кв. 780, Багачеве, 70470",088 542 55 39,avreliiiaremkiv@example.org
Александренко,Оксенія,Вікторівна,Жіноча,07.05.1998,Системний адміністратор,село Новий Розділ,"площа Травневий 3-й, буд. 24 кв. 1, Зміїв, 55898",856 86 71,uishchak@example.com
Носенко,Ліза,Степанівна,Жіноча,06.05.2005,Backend розробник,хутір Верхівцеве,"набережна Цимлянська, буд. 150 кв. 1, Кропивницький, 59415",995-09-19,dziubaanton@example.net
Негода,Олег,Тарасович,Чоловіча,08.09.2003,Тестувальник,місто Долинська,"проспект Дорожня, буд. 36, Чоп, 14244",073 857 04 51,givashchenko@example.org
Данько,Вʼячеслав,Петрович,Чоловіча,16.06.1980,DevOps інженер,хутір Березівка,"набережна 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 79 кв. 798, Лисичанськ, 64040",+380 20 108-78-77,ruslankalchenko@example.net
Оліфіренко,Болеслав,Віталійович,Чоловіча,08.12.1956,UI/UX дизайнер,місто Миколаївка,"шосе Банний, буд. 66, Марганець, 38061",473-21-08,lfastenko@example.org
Гайворонська,Святослава,Петрівна,Жіноча,02.06.1948,Аналітик,село Перевальськ,"площа Злакова, буд. 17 кв. 1, Вишгород, 82042",+380 86 633 26 15,halynakhrystych@example.com
Лемешко,Гліб,Юрійович,Чоловіча,18.09.1968,Backend розробник,хутір Шахтарськ,"вулиця Чорноморський 11-й, буд. 6 кв. 8, Приморськ, 85725",+380 (10) 328-78-98,azar61@example.org
Демʼянчук,Євген,Віталійович,Чоловіча,03.05.1979,UI/UX дизайнер,село Новоазовськ,"сквер Прорізний, буд. 370 кв. 69, Дергачі, 72868",850-25-90,halynahaidamaka@example.org
Адаменко,Христина,Сергіївна,Жіноча,27.09.2003,Аналітик,селище Деражня,"сквер Теплична, буд. 03, Амвросіївка, 79907",+380 22 728-22-84,isaienkofrants@example.com
Вакарчук,Оксана,Денисівна,Жіноча,06.02.1993,DevOps інженер,село Герца,"проспект Лазурний 4-й, буд. 314, Сколе, 36043",092 652-98-65,odarkaatroshchenko@example.org
Стець,Сергій,Тарасович,Чоловіча,22.10.2003,Тестувальник,хутір Красилів,"набережна Лінія 22-га, буд. 047 кв. 6, Подільськ, 34943",032 119 15 16,havryletstymofii@example.org
Корсун,Адам,Денисович,Чоловіча,06.03.1990,Системний адміністратор,хутір Баштанка,"провулок Східчастий, буд. 1, Кипуче, 95369",+380 08 269-04-61,havryliviustyna@example.org
Вернидуб,Ярина,Денисівна,Жіноча,16.09.1973,Backend розробник,місто Полонне,"вулиця Ламаний, буд. 314 кв. 63, Ічня, 26915",+380 19 445 95 61,vernydubtereza@example.com
Гайда,Климент,Юрійович,Чоловіча,07.04.1954,Системний адміністратор,селище Погребище,"узвіз Удільний, буд. 03 кв. 34, Новоселиця, 23625",826-24-38,pdzhus@example.net
